Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	9904	10089	-	GBJ002_00011		Oligoendopeptidase F	SO:0001217, UniParc:UPI00005B4359, UniRef:UniRef100_A0A9X8C1R2, UniRef:UniRef50_A0A9W5QTY0, UniRef:UniRef90_A0A9W5QTY0
chromosome	cds	10101	10994	-	GBJ002_00012		Peptidase M3 family protein	EC:3.4.24.-, KEGG:K08602, SO:0001217, UniParc:UPI00027B4340, UniRef:UniRef100_A0A9X8GBJ8, UniRef:UniRef50_B7IJP8, UniRef:UniRef90_B7IJP8
chromosome	cds	11036	11965	-	GBJ002_00013	ppaC	manganese-dependent inorganic pyrophosphatase	BlastRules:WP_000416849, COG:C, COG:COG1227, EC:3.6.1.1, GO:0004427, GO:0005737, GO:0030145, KEGG:K15986, RefSeq:WP_000416871.1, SO:0001217, UniParc:UPI00016B5992, UniRef:UniRef100_B7IJP9, UniRef:UniRef50_P37487, UniRef:UniRef90_Q81PH9
chromosome	cds	12126	12791	-	GBJ002_00014		Chitin-binding type-4 domain-containing protein	COG:COG3397, COG:R, EC:1.14.99.53, KEGG:K21713, RefSeq:WP_000742282.1, SO:0001217, UniParc:UPI00016B5993, UniRef:UniRef100_A0A9Q7IUD5, UniRef:UniRef50_J9C3I8, UniRef:UniRef90_J9C3I8
chromosome	cds	13025	13528	-	GBJ002_00015	rimI	Acetyltransferase Ttr	COG:COG0456, COG:J, EC:2.3.1.-, KEGG:K19113, RefSeq:WP_001245261.1, SO:0001217, UniParc:UPI00016B5994, UniRef:UniRef100_A0A9X6W5C6, UniRef:UniRef50_A0A069DLR9, UniRef:UniRef90_A0A9X5N726
chromosome	cds	13634	14275	+	GBJ002_00016	rnaY	HD/PDEase domain-containing protein	COG:COG1418, COG:JR, RefSeq:WP_014895276.1, SO:0001217, UniParc:UPI00027B4341, UniRef:UniRef100_A0AB35P9K2, UniRef:UniRef50_Q6HHR3, UniRef:UniRef90_Q6HHR3
chromosome	cds	14342	14707	-	GBJ002_00017	yurZ	putative carboxymuconolactone decarboxylase	COG:COG0599, COG:R, RefSeq:WP_000399719.1, SO:0001217, UniParc:UPI000018E667, UniRef:UniRef100_Q81CE2, UniRef:UniRef50_N0B0E6, UniRef:UniRef90_Q6HHR2
chromosome	cds	14807	16297	-	GBJ002_00018	alsT	Sodium:alanine symporter	COG:COG1115, COG:E, KEGG:K03310, RefSeq:WP_000429519.1, SO:0001217, UniParc:UPI00016B5996, UniRef:UniRef100_A0A9X7JAR5, UniRef:UniRef50_A0A0G8F6B6, UniRef:UniRef90_A0A0G8F6B6
chromosome	cds	16427	17911	-	GBJ002_00019	adhE	Aldehyde dehydrogenase	COG:COG1012, COG:I, RefSeq:WP_000920980.1, SO:0001217, UniParc:UPI0001A1E94B, UniRef:UniRef100_A0A9W7URB3, UniRef:UniRef50_A0A507QTY4, UniRef:UniRef90_A0AAP7WEE9
chromosome	cds	17929	18825	-	GBJ002_00020	dapA	4-hydroxy-tetrahydrodipicolinate synthase	COG:COG0329, COG:EM, EC:4.3.3.7, GO:0008840, GO:0009089, RefSeq:WP_001169451.1, SO:0001217, UniParc:UPI0001A1E94C, UniRef:UniRef100_A0AB35PBX5, UniRef:UniRef50_M7P7T7, UniRef:UniRef90_A0AAC8N6L2
chromosome	cds	18848	19789	-	GBJ002_00021	prdF	Proline racemase	COG:COG3938, COG:E, RefSeq:WP_001025577.1, SO:0001217, UniParc:UPI00027B4342, UniRef:UniRef100_A0A9X6SP25, UniRef:UniRef50_Q81CD8, UniRef:UniRef90_Q81CD8
chromosome	cds	19786	20823	-	GBJ002_00022	prdF	Uncharacterized protein BA_2834/GBAA_2834/BAS2643	COG:COG3938, COG:E, EC:5.1.1.4, GO:0047580, KEGG:K01777, RefSeq:WP_014895277.1, SO:0001217, UniParc:UPI00027B4343, UniRef:UniRef100_A0AB35PA83, UniRef:UniRef50_Q81PH1, UniRef:UniRef90_Q81PH1
chromosome	cds	20820	21995	-	GBJ002_00023	dadA	Aerobic glycerol-3-phosphate dehydrogenase	COG:COG0665, COG:E, RefSeq:WP_001215272.1, SO:0001217, UniParc:UPI00016B599B, UniRef:UniRef100_A0A9Q1ZUX1, UniRef:UniRef50_A0A0A1MQ25, UniRef:UniRef90_B9J363
chromosome	cds	22176	23837	+	GBJ002_00024	rocR	Sigma-54-dependent Fis family transcriptional regulator	COG:COG3829, COG:KT, RefSeq:WP_000885736.1, SO:0001217, UniParc:UPI00016B599C, UniRef:UniRef100_A0A9X6TKV4, UniRef:UniRef50_A0A0G8F6K2, UniRef:UniRef90_A0A0G8F6K2
chromosome	cds	23946	24218	+	GBJ002_00025		(2Fe-2S)-binding protein	RefSeq:WP_000182619.1, SO:0001217, UniParc:UPI00016B599D, UniRef:UniRef100_A0A9Q7N6N8, UniRef:UniRef50_A0A1J9YBW7, UniRef:UniRef90_A0A9Q7N6N8
chromosome	cds	24215	24547	+	GBJ002_00026		2Fe-2S ferredoxin-type domain-containing protein	RefSeq:WP_001080019.1, SO:0001217, UniParc:UPI00005B4E6E, UniRef:UniRef100_A0A9X6TLA1, UniRef:UniRef50_Q63AB5, UniRef:UniRef90_A0A9W5P5U1
chromosome	cds	24544	25788	+	GBJ002_00027	trxB	FAD/NAD(P)-binding domain-containing protein	COG:COG0492, COG:O, RefSeq:WP_001286109.1, SO:0001217, UniParc:UPI0001A1E950, UniRef:UniRef100_A0AB35PAU6, UniRef:UniRef50_M7NZ36, UniRef:UniRef90_J8EV24
chromosome	cds	25846	26355	-	GBJ002_00028		hypothetical protein	SO:0001217, UniParc:UPI00027B4344, UniRef:UniRef100_A0A9X8GAY8, UniRef:UniRef50_A0A9X8GAY8, UniRef:UniRef90_A0A9X8GAY8
chromosome	cds	26327	26569	-	GBJ002_00029		Lipoprotein	SO:0001217, UniParc:UPI00005B4FB5, UniRef:UniRef100_A0A9W5NEC6, UniRef:UniRef50_A0A2A8PYP7, UniRef:UniRef90_A0A9W5NEC6
chromosome	cds	26727	27035	-	GBJ002_00030		DUF2653 domain-containing protein	RefSeq:WP_000447761.1, SO:0001217, UniParc:UPI00005B42A5, UniRef:UniRef100_A0AB35PDN7, UniRef:UniRef50_D5DRV6, UniRef:UniRef90_A0A125PL18
chromosome	cds	27023	27472	-	GBJ002_00031		Preprotein translocase subunit Tim44	RefSeq:WP_000914478.1, SO:0001217, UniParc:UPI000018E673, UniRef:UniRef100_Q81CD0, UniRef:UniRef50_M8DGC4, UniRef:UniRef90_Q81CD0
chromosome	cds	27731	28495	+	GBJ002_00032		DUF1836 domain-containing protein	RefSeq:WP_000447231.1, SO:0001217, UniParc:UPI000018E674, UniRef:UniRef100_Q81CC9, UniRef:UniRef50_A0A1I6TBG2, UniRef:UniRef90_A0A9W3SU21
chromosome	cds	28729	29334	+	GBJ002_00033	dedA	VTT domain-containing protein	COG:COG0586, COG:M, RefSeq:WP_000952913.1, SO:0001217, UniParc:UPI00016B4911, UniRef:UniRef100_A0A9X6L2T7, UniRef:UniRef50_J8EDM7, UniRef:UniRef90_J8APN1
chromosome	cds	29503	29727	+	GBJ002_00034		Group-specific protein	RefSeq:WP_000558692.1, SO:0001217, UniParc:UPI00016B5C9E, UniRef:UniRef100_A0AB36TRL7, UniRef:UniRef50_Q81CC8, UniRef:UniRef90_Q81CC8
chromosome	cds	29768	30949	-	GBJ002_00035	dltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	COG:COG3966, COG:M, GO:0070394, KEGG:K03740, RefSeq:WP_000782292.1, SO:0001217, UniParc:UPI0001A1EADB, UniRef:UniRef100_A0AB35PC71, UniRef:UniRef50_A0AAJ3RFJ9, UniRef:UniRef90_A0A9X7D8A7
chromosome	cds	31289	32911	-	GBJ002_00036	oppA	4-phytase	COG:COG4166, COG:E, KEGG:K15580, RefSeq:WP_000758269.1, SO:0001217, UniParc:UPI0001A1EADC, UniRef:UniRef100_A0AB35PBQ8, UniRef:UniRef50_B1YJ52, UniRef:UniRef90_A9VIJ2
chromosome	cds	32931	33932	-	GBJ002_00037	ykfC	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase	COG:COG0791, COG:M, EC:3.4.14.13, GO:0006508, GO:0008234, GO:0016998, GO:0071555, RefSeq:WP_000755414.1, SO:0001217, UniParc:UPI00016B5CA1, UniRef:UniRef100_A0A9X6TK70, UniRef:UniRef50_Q736M3, UniRef:UniRef90_Q736M3
chromosome	cds	33973	35034	-	GBJ002_00038	rspA	Dipeptide epimerase	COG:COG4948, COG:MR, EC:5.1.1.20, EC:5.1.1.25, KEGG:K19802, RefSeq:WP_001038453.1, SO:0001217, UniParc:UPI0001A1EADD, UniRef:UniRef100_A0AB35PCT7, UniRef:UniRef50_Q6HHP1, UniRef:UniRef90_Q6HHP1
chromosome	cds	35221	35547	-	GBJ002_00039		DUF3870 domain-containing protein	RefSeq:WP_000271316.1, SO:0001217, UniParc:UPI00005B4FC0, UniRef:UniRef100_A0A9X6TKF6, UniRef:UniRef50_A7GQ14, UniRef:UniRef90_Q81CC2
chromosome	cds	35808	36164	-	GBJ002_00040	ftsB	Cell division protein DIVIC	COG:COG2919, COG:D, RefSeq:WP_001228728.1, SO:0001217, UniParc:UPI00005B53F2, UniRef:UniRef100_A0A9W7Q4L2, UniRef:UniRef50_A0A9W5P5Z8, UniRef:UniRef90_A0A9W5P5Z8
chromosome	cds	36449	37375	+	GBJ002_00041	pdxI	Oxidoreductase YccK	COG:COG0667, COG:HR, EC:1.1.1.-, KEGG:K06607, RefSeq:WP_000559372.1, SO:0001217, UniParc:UPI0001A1EADE, UniRef:UniRef100_A0A9X6TKC7, UniRef:UniRef50_A0A9X5N573, UniRef:UniRef90_A0A9W3SUM2
chromosome	cds	37395	37991	-	GBJ002_00042	glxA	AraC family transcriptional regulator	COG:COG4977, COG:K, RefSeq:WP_000981426.1, SO:0001217, UniParc:UPI00005B5126, UniRef:UniRef100_A0A9X6TL93, UniRef:UniRef50_A0A075RF67, UniRef:UniRef90_A0A9X6TL93
chromosome	cds	37988	38479	-	GBJ002_00043	aNKYR	Ankyrin repeat domain-containing protein	COG:COG0666, COG:T, RefSeq:WP_000400677.1, SO:0001217, UniParc:UPI00005B4434, UniRef:UniRef100_A0A9X6TKA7, UniRef:UniRef50_A0A9W5P5V7, UniRef:UniRef90_A0A9W5P5V7
chromosome	cds	39012	39242	-	GBJ002_00044	marR	MarR family transcriptional regulator	RefSeq:WP_000789031.1, SO:0001217, UniParc:UPI000018E681, UniRef:UniRef100_Q81CB6, UniRef:UniRef50_Q81CB6, UniRef:UniRef90_Q81CB6
chromosome	cds	39510	39773	-	GBJ002_00045		Group-specific protein	RefSeq:WP_000432425.1, SO:0001217, UniParc:UPI00005B45A7, UniRef:UniRef100_A0AB35PDM2, UniRef:UniRef50_A0A1W6A9F4, UniRef:UniRef90_Q81CB5
chromosome	cds	39899	40459	-	GBJ002_00046		Shikimate kinase	RefSeq:WP_000767068.1, SO:0001217, UniParc:UPI00005B4130, UniRef:UniRef100_A0A9X6SN71, UniRef:UniRef50_A0A511W513, UniRef:UniRef90_Q81CB4
chromosome	cds	40562	41323	-	GBJ002_00047	ubiG	Methyltransferase	COG:COG2227, COG:H, RefSeq:WP_000490921.1, SO:0001217, UniParc:UPI00005B4880, UniRef:UniRef100_A0AB35PAN8, UniRef:UniRef50_A0A2X4WD39, UniRef:UniRef90_Q81CB3
chromosome	cds	41551	43293	-	GBJ002_00048		Putative Xaa-Pro dipeptidyl-peptidase	COG:COG2936, COG:R, EC:3.4.14.11, GO:0004177, GO:0006508, GO:0008236, GO:0008239, SO:0001217, UniParc:UPI0001A1EADF, UniRef:UniRef100_A0A9X8C1Y4, UniRef:UniRef50_Q81PE9, UniRef:UniRef90_Q81PE9
chromosome	cds	43621	44463	-	GBJ002_00049	prsA4	Foldase protein PrsA 4	COG:COG0760, COG:O, EC:5.2.1.8, GO:0005886, GO:0006457, GO:0140839, GO:0140840, RefSeq:WP_002162768.1, SO:0001217, UniParc:UPI0002794EF0, UniRef:UniRef100_A0A9W7Q4M3, UniRef:UniRef50_Q81QT1, UniRef:UniRef90_Q81CB1
chromosome	cds	44653	46029	-	GBJ002_00050	walK	histidine kinase	COG:COG5002, COG:T, RefSeq:WP_001037226.1, SO:0001217, UniParc:UPI0002794EEF, UniRef:UniRef100_A0A9Q7J5X9, UniRef:UniRef50_A0A9W3X0M8, UniRef:UniRef90_A0A9W3X0M8
chromosome	cds	46022	46669	-	GBJ002_00051	ompR	Response regulatory domain-containing protein	COG:COG0745, COG:TK, RefSeq:WP_000865984.1, SO:0001217, UniParc:UPI00016B6597, UniRef:UniRef100_A0A9X6K8N6, UniRef:UniRef50_A0A0C7R3C5, UniRef:UniRef90_J8EDK8
chromosome	cds	46791	47207	+	GBJ002_00052		Group-specific protein	RefSeq:WP_000591758.1, SO:0001217, UniParc:UPI00016B6598, UniRef:UniRef100_A0A9Q7J852, UniRef:UniRef50_J8YS00, UniRef:UniRef90_B7HA87
chromosome	cds	47406	47879	-	GBJ002_00053		N-acetyltransferase domain-containing protein	SO:0001217, UniParc:UPI0001A1EAE2, UniRef:UniRef100_A0A9X8C2H2, UniRef:UniRef50_Q6HHM9, UniRef:UniRef90_W8YCC6
chromosome	cds	47925	49325	-	GBJ002_00054		5'-methylthioadenosine/adenosylhomocysteine nucleosidase	EC:3.2.2.9, GO:0008782, GO:0008930, GO:0009116, GO:0009164, GO:0019509, KEGG:K01243, RefSeq:WP_001079713.1, SO:0001217, UniParc:UPI00016B659B, UniRef:UniRef100_A0A9X6TJM5, UniRef:UniRef50_A0A0B5NEB9, UniRef:UniRef90_A0A9X6TJM5
chromosome	cds	49343	50092	-	GBJ002_00055	wecG	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	COG:COG1922, COG:M, EC:2.4.1.187, KEGG:K05946, RefSeq:WP_000372659.1, SO:0001217, UniParc:UPI00016B659C, UniRef:UniRef100_A0A9X0W0E2, UniRef:UniRef50_Q81CA6, UniRef:UniRef90_Q81CA6
chromosome	cds	50105	51694	-	GBJ002_00056	pepF	Peptidase M3A/M3B catalytic domain-containing protein	COG:COG1164, COG:E, EC:3.4.24.-, KEGG:K08602, RefSeq:WP_003262698.1, SO:0001217, UniParc:UPI00005B4274, UniRef:UniRef100_A0AB35PAA9, UniRef:UniRef50_J9C3N6, UniRef:UniRef90_W8Y4H5
chromosome	cds	51984	52844	-	GBJ002_00057	degV	DegV domain-containing protein YitS	COG:COG1307, COG:I, RefSeq:WP_000538298.1, SO:0001217, UniParc:UPI00005B50E7, UniRef:UniRef100_A0AB35PBA9, UniRef:UniRef50_A0A0C2S842, UniRef:UniRef90_A0A073K721
chromosome	cds	53305	53757	-	GBJ002_00058	cotV	Spore coat protein X/V domain-containing protein	COG:COG5886, COG:D, KEGG:K06342, RefSeq:WP_000415813.1, SO:0001217, UniParc:UPI00016B659F, UniRef:UniRef100_A0A9X6SN89, UniRef:UniRef50_A0A9W5P694, UniRef:UniRef90_A0A9W5P694
chromosome	cds	53772	53972	-	GBJ002_00059	cotW	Spore coat protein W	COG:COG5887, COG:D, RefSeq:WP_000342252.1, SO:0001217, UniParc:UPI00005B52A4, UniRef:UniRef100_A0A9X6SN62, UniRef:UniRef50_A0A0G8C2E2, UniRef:UniRef90_A0A0G8C2E2
chromosome	cds	54340	54888	-	GBJ002_00060	cotV	Spore coat protein	COG:COG5886, COG:D, RefSeq:WP_000332789.1, SO:0001217, UniParc:UPI00005B4E60, UniRef:UniRef100_A0A9X6Y8R1, UniRef:UniRef50_A0A0G8C086, UniRef:UniRef90_A0A9X1ARB3
chromosome	cds	55546	55977	+	GBJ002_00061	argA	N-acetyltransferase domain-containing protein	COG:COG1246, COG:E, RefSeq:WP_000027164.1, SO:0001217, UniParc:UPI0002794AA9, UniRef:UniRef100_A0A9X6SGK1, UniRef:UniRef50_J8YS11, UniRef:UniRef90_J8DR07
chromosome	cds	56331	57101	-	GBJ002_00062		N-acetyltransferase domain-containing protein	RefSeq:WP_000581062.1, SO:0001217, UniParc:UPI00016B65A2, UniRef:UniRef100_A0A9Q7NC71, UniRef:UniRef50_T0N720, UniRef:UniRef90_W8Y4E8
chromosome	cds	57358	58137	-	GBJ002_00063	sipL	SipL SPOCS domain-containing protein	RefSeq:WP_000340385.1, SO:0001217, UniParc:UPI0001A1EAE7, UniRef:UniRef100_A0AB35P9G3, UniRef:UniRef50_A9VJ77, UniRef:UniRef90_A0A9X7BWT9
chromosome	cds	58390	58710	+	GBJ002_00064		Group-specific protein	RefSeq:WP_001062742.1, SO:0001217, UniParc:UPI00005B463E, UniRef:UniRef100_A0A9X1B0B0, UniRef:UniRef50_Q81C96, UniRef:UniRef90_Q81C96
chromosome	cds	58765	60300	-	GBJ002_00065	araJ	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2814, COG:G, RefSeq:WP_000229652.1, SO:0001217, UniParc:UPI0001A1EAE8, UniRef:UniRef100_A0AB35PC36, UniRef:UniRef50_A0A1E3L1F7, UniRef:UniRef90_A0A0G8F4J5
chromosome	cds	60324	61031	-	GBJ002_00066		Cytoplasmic protein	RefSeq:WP_003259674.1, SO:0001217, UniParc:UPI00005B47AD, UniRef:UniRef100_A0AB35PBM8, UniRef:UniRef50_A0A9W3SBP6, UniRef:UniRef90_A0A9W3SBP6
chromosome	cds	61050	61760	-	GBJ002_00067	ccmA	Cytoplasmic protein	COG:COG1664, COG:Z, RefSeq:WP_001258382.1, SO:0001217, UniParc:UPI00005B3F01, UniRef:UniRef100_A0A9Q7J5B5, UniRef:UniRef50_A0A9W3SBI6, UniRef:UniRef90_A0A9W3SBI6
chromosome	cds	61774	62397	-	GBJ002_00068		DUF4004 domain-containing protein	RefSeq:WP_000102243.1, SO:0001217, UniParc:UPI00016B65A6, UniRef:UniRef100_A0A9W3TDJ2, UniRef:UniRef50_Q63A68, UniRef:UniRef90_Q63A68
chromosome	cds	62558	64294	-	GBJ002_00069	sgrR	Solute-binding protein family 5 domain-containing protein	COG:COG4533, COG:K, RefSeq:WP_000470218.1, SO:0001217, UniParc:UPI00016B65A7, UniRef:UniRef100_A0A9W3TE55, UniRef:UniRef50_J8F4U8, UniRef:UniRef90_A0A9W5P5V0
chromosome	cds	64396	65610	+	GBJ002_00070	uhpC	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2271, COG:G, RefSeq:WP_001108448.1, SO:0001217, UniParc:UPI00027B43C7, UniRef:UniRef100_A0AB35PAC3, UniRef:UniRef50_J9C260, UniRef:UniRef90_A0A9W5P606
chromosome	cds	65761	66432	-	GBJ002_00071		DUF4309 domain-containing protein	RefSeq:WP_002082626.1, SO:0001217, UniParc:UPI00027982A1, UniRef:UniRef100_A0A9W5QU97, UniRef:UniRef50_A7GQ46, UniRef:UniRef90_B7IKM7
chromosome	cds	66767	66913	-	GBJ002_00072		Chorismate mutase	RefSeq:WP_000959552.1, SO:0001217, UniParc:UPI00016B68A9, UniRef:UniRef100_A0A9W7Q4F9, UniRef:UniRef50_W8YCF3, UniRef:UniRef90_W8YCF3
chromosome	cds	67174	67569	-	GBJ002_00073		Cytosolic protein	RefSeq:WP_000834883.1, SO:0001217, UniParc:UPI00016B3C0C, UniRef:UniRef100_A0A0J1I594, UniRef:UniRef50_U5LEN1, UniRef:UniRef90_A0A090Z1L7
chromosome	cds	67649	67891	-	GBJ002_00074		GlsB/YeaQ/YmgE family stress response membrane protein	RefSeq:WP_000638310.1, SO:0001217, UniParc:UPI00016B68AA, UniRef:UniRef100_A0A9X7FXA7, UniRef:UniRef50_F4BP16, UniRef:UniRef90_Q6HHL1
chromosome	cds	68070	69035	-	GBJ002_00075	uRH1	Inosine/uridine-preferring nucleoside hydrolase domain-containing protein	COG:COG1957, COG:F, RefSeq:WP_001223689.1, SO:0001217, UniParc:UPI00005B4293, UniRef:UniRef100_A0A9W7Q527, UniRef:UniRef50_J9C265, UniRef:UniRef90_J9C265
chromosome	cds	69113	69301	-	GBJ002_00076		DUF3970 domain-containing protein	RefSeq:WP_000621885.1, SO:0001217, UniParc:UPI00005B4F9F, UniRef:UniRef100_A0A9X7FXC5, UniRef:UniRef50_A0A2A8SCB7, UniRef:UniRef90_A0A243CXC0
chromosome	cds	69371	70156	-	GBJ002_00077	ubiE	Methyltransferase type 11 domain-containing protein	COG:COG2226, COG:HJ, RefSeq:WP_000031314.1, SO:0001217, UniParc:UPI0002794AA3, UniRef:UniRef100_A0A9X6SGK8, UniRef:UniRef50_A0A090YKC9, UniRef:UniRef90_A0A9W5L3X4
chromosome	cds	70352	70720	-	GBJ002_00078		Group-specific protein	RefSeq:WP_000071474.1, SO:0001217, UniParc:UPI00005B46D8, UniRef:UniRef100_A0A9Q7J2G5, UniRef:UniRef50_Q81C87, UniRef:UniRef90_A0A9X7E7P5
chromosome	cds	70871	70987	-	GBJ002_00079		Cell wall assembly protein	SO:0001217, UniParc:UPI00016B68AC, UniRef:UniRef100_A0A9X7GBM6, UniRef:UniRef50_Q736G9, UniRef:UniRef90_Q736G9
chromosome	cds	71621	71953	+	GBJ002_00080		Exosporium protein C	SO:0001217, UniParc:UPI00005B4107, UniRef:UniRef100_A0A9X8C2R0, UniRef:UniRef50_U1X4V0, UniRef:UniRef90_A0A9W5VL89
chromosome	cds	72248	73450	+	GBJ002_00081	araJ	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2814, COG:G, RefSeq:WP_000269259.1, SO:0001217, UniParc:UPI00005B4418, UniRef:UniRef100_A0A9X6THW8, UniRef:UniRef50_J9CG57, UniRef:UniRef90_J9CG57
chromosome	cds	73604	73903	+	GBJ002_00082		Group-specific protein	RefSeq:WP_001279467.1, SO:0001217, UniParc:UPI00027B43CA, UniRef:UniRef100_A0AB35PBL4, UniRef:UniRef50_A0A1C4CYU0, UniRef:UniRef90_A0A9X0MBV4
chromosome	cds	74073	74435	+	GBJ002_00083		Lipoprotein	RefSeq:WP_000757024.1, SO:0001217, UniParc:UPI00016B68B0, UniRef:UniRef100_A0A9X7GH94, UniRef:UniRef50_Q81C84, UniRef:UniRef90_Q81C84
chromosome	cds	74730	75929	+	GBJ002_00084	aspB	LL-diaminopimelate aminotransferase	COG:COG0436, COG:E, EC:2.6.1.83, KEGG:K10206, RefSeq:WP_000222695.1, SO:0001217, UniParc:UPI00027B43CB, UniRef:UniRef100_A0A9X6THQ4, UniRef:UniRef50_Q6HHK2, UniRef:UniRef90_Q6HHK2
chromosome	cds	75986	76384	+	GBJ002_00085		Beta-hydroxyacyl-ACP dehydratase	EC:4.2.1.59, KEGG:K02372, RefSeq:WP_000547637.1, SO:0001217, UniParc:UPI00005B4E33, UniRef:UniRef100_A0A9X6THI7, UniRef:UniRef50_Q6HHK1, UniRef:UniRef90_A0A9X6THI7
chromosome	cds	76469	77290	+	GBJ002_00086	coaW	type II pantothenate kinase	COG:COG5146, COG:H, EC:2.7.1.33, GO:0004594, GO:0005524, GO:0005829, GO:0015937, RefSeq:WP_000442496.1, SO:0001217, UniParc:UPI00005B4F9E, UniRef:UniRef100_A0A9X6THN7, UniRef:UniRef50_Q81PB2, UniRef:UniRef90_Q81C81
chromosome	cds	77305	77502	-	GBJ002_00087		2'-5' RNA ligase	SO:0001217, UniParc:UPI00005B457E, UniRef:UniRef100_A0A9X8GBM3, UniRef:UniRef50_W8Z0V0, UniRef:UniRef90_W8Z0V0
chromosome	cds	77572	78165	-	GBJ002_00088		DUF4825 domain-containing protein	RefSeq:WP_000876530.1, SO:0001217, UniParc:UPI00005B3F9C, UniRef:UniRef100_A0A9X6SGL5, UniRef:UniRef50_J9CG65, UniRef:UniRef90_Q81C73
chromosome	cds	78344	78442	+	GBJ002_00089		hypothetical protein	SO:0001217, UniParc:UPI00003CC56D, UniRef:UniRef100_A0A2A8KVZ0, UniRef:UniRef50_B9J431, UniRef:UniRef90_Q736F3
chromosome	cds	78608	78748	+	GBJ002_00090	yrzI	YrzI family small protein	RefSeq:WP_000156193.1, SO:0001217, UniParc:UPI00016B3FC0, UniRef:UniRef100_A0A9X6TIA1, UniRef:UniRef50_R8QFA2, UniRef:UniRef90_R8D441
chromosome	cds	78776	78919	+	GBJ002_00091	yrzI	YrzI family protein	RefSeq:WP_000142731.1, SO:0001217, UniParc:UPI00027B443F, UniRef:UniRef100_A0AB35PAI0, UniRef:UniRef50_B9J433, UniRef:UniRef90_A0A0G8F4N4
chromosome	cds	78948	79091	+	GBJ002_00092	yrzI	YrzI family protein	RefSeq:WP_000668963.1, SO:0001217, UniParc:UPI00016B3FBE, UniRef:UniRef100_A0A9X7GRA9, UniRef:UniRef50_A0A6L7HK26, UniRef:UniRef90_A0A6L7HK26
