GBJ002_00001	BTF1_09110
GBJ002_00086	BTF1_08670
GBJ002_00087	BTF1_08665
GBJ002_00088	BTF1_08660
GBJ002_00089	BTF1_08655
GBJ002_00090	BTF1_08650
GBJ002_00091	None
GBJ002_00092	BTF1_08645
GBJ002_00093	BTF1_08640
GBJ002_00094	BTF1_08635
GBJ002_00095	BTF1_08630
GBJ002_00096	BTF1_08625
GBJ002_00097	None
GBJ002_00098	BTF1_08620
GBJ002_00099	BTF1_08615
GBJ002_00100	BTF1_08610
GBJ002_00101	BTF1_08605
GBJ002_00102	BTF1_08600
GBJ002_00103	BTF1_08595
GBJ002_00104	BTF1_08590
GBJ002_00105	BTF1_08585
GBJ002_00106	BTF1_08580
GBJ002_00107	BTF1_08575
GBJ002_00108	BTF1_08565
GBJ002_00109	BTF1_08560
GBJ002_00110	BTF1_08555
GBJ002_00111	BTF1_08550
GBJ002_00112	BTF1_08545
GBJ002_00113	BTF1_08540
GBJ002_00114	BTF1_08535
GBJ002_00115	BTF1_08530
GBJ002_00116	BTF1_08525
GBJ002_00117	BTF1_08520
GBJ002_00118	BTF1_08515
GBJ002_00119	BTF1_08510
GBJ002_00120	BTF1_08505
GBJ002_00121	BTF1_08500
GBJ002_00122	BTF1_08495
GBJ002_00123	BTF1_08490
GBJ002_00124	BTF1_08485
GBJ002_00125	BTF1_08480
GBJ002_00126	BTF1_08475
GBJ002_00127	BTF1_08470
GBJ002_00128	BTF1_08465
GBJ002_00129	BTF1_08460
GBJ002_00130	BTF1_08455
GBJ002_00131	BTF1_08450
GBJ002_00132	BTF1_08445
GBJ002_00133	BTF1_08440
GBJ002_00134	BTF1_08435
GBJ002_00135	BTF1_08430
GBJ002_00136	BTF1_08425
GBJ002_00137	BTF1_08420
GBJ002_00138	BTF1_08415
GBJ002_00139	BTF1_08400
GBJ002_00140	BTF1_08395
GBJ002_00141	BTF1_08390
GBJ002_00142	BTF1_08385
GBJ002_00143	BTF1_08380
GBJ002_00144	BTF1_08375
GBJ002_00145	BTF1_08370
GBJ002_00146	BTF1_08365
GBJ002_00147	BTF1_08360
GBJ002_00148	BTF1_08355
GBJ002_00149	BTF1_08350
GBJ002_00150	BTF1_08340
GBJ002_00151	BTF1_08335
GBJ002_00152	BTF1_08330
GBJ002_00153	BTF1_08325
GBJ002_00154	BTF1_08315
GBJ002_00155	BTF1_08310
GBJ002_00156	BTF1_08305
GBJ002_00157	BTF1_08300
GBJ002_00158	BTF1_08295
GBJ002_00159	BTF1_08290
GBJ002_00160	BTF1_08285
GBJ002_00161	BTF1_08280
GBJ002_00162	BTF1_08275
GBJ002_00163	BTF1_08265
GBJ002_00164	BTF1_08260
GBJ002_00165	BTF1_08255
GBJ002_00166	BTF1_08250
GBJ002_00167	BTF1_08245
GBJ002_00168	BTF1_08240
GBJ002_00169	BTF1_08235
GBJ002_00170	BTF1_08230
GBJ002_00171	BTF1_08225
GBJ002_00172	None
GBJ002_00173	BTF1_08220
GBJ002_00174	BTF1_08215
GBJ002_00175	BTF1_08210
GBJ002_00176	BTF1_08205
GBJ002_00177	BTF1_08200
GBJ002_00178	BTF1_08195
GBJ002_00179	BTF1_08190
GBJ002_00180	BTF1_08185
GBJ002_00181	BTF1_08180
GBJ002_00182	BTF1_08175
GBJ002_00183	BTF1_08170
GBJ002_00184	BTF1_08165
GBJ002_00185	BTF1_08160
GBJ002_00186	BTF1_08155
GBJ002_00187	BTF1_08150
GBJ002_00188	BTF1_08145
GBJ002_00189	BTF1_08135
GBJ002_00190	BTF1_08130
GBJ002_00191	BTF1_08125
GBJ002_00192	BTF1_08120
GBJ002_00193	BTF1_08115
GBJ002_00194	BTF1_08110
GBJ002_00195	BTF1_08105
GBJ002_00196	BTF1_08100
GBJ002_00197	BTF1_08095
GBJ002_00198	BTF1_08090
GBJ002_00199	BTF1_08085
GBJ002_00200	BTF1_08080
GBJ002_00201	BTF1_08075
GBJ002_00202	BTF1_08070
GBJ002_00203	BTF1_08065
GBJ002_00204	BTF1_08060
GBJ002_00205	BTF1_08055
GBJ002_00206	BTF1_08050
GBJ002_00207	BTF1_08045
GBJ002_00208	BTF1_08040
GBJ002_00209	BTF1_08035
GBJ002_00210	BTF1_08030
GBJ002_00211	BTF1_08025
GBJ002_00212	BTF1_08020
GBJ002_00213	BTF1_08015
GBJ002_00214	BTF1_08010
GBJ002_00215	BTF1_08005
GBJ002_00216	BTF1_08000
GBJ002_00217	BTF1_07995
GBJ002_00218	BTF1_07990
GBJ002_00219	BTF1_07985
GBJ002_00220	BTF1_07980
GBJ002_00221	BTF1_07975
GBJ002_00222	BTF1_07970
GBJ002_00223	BTF1_07965
GBJ002_00224	BTF1_07960
GBJ002_00225	BTF1_07955
GBJ002_00226	BTF1_07950
GBJ002_00227	BTF1_07945
GBJ002_00228	BTF1_07940
GBJ002_00229	None
GBJ002_00230	BTF1_07935
GBJ002_00231	BTF1_07930
GBJ002_00232	BTF1_07925
GBJ002_00233	BTF1_07920
GBJ002_00234	BTF1_07915
GBJ002_00235	BTF1_07910
GBJ002_00236	BTF1_07905
GBJ002_00237	BTF1_07895
GBJ002_00238	BTF1_07885
GBJ002_00239	BTF1_07875
GBJ002_00240	BTF1_07870
GBJ002_00241	BTF1_07865
GBJ002_00242	BTF1_07860
GBJ002_00243	BTF1_07855
GBJ002_00244	BTF1_07850
GBJ002_00245	BTF1_07845
GBJ002_00246	BTF1_07840
GBJ002_00247	BTF1_07835
GBJ002_00248	BTF1_07830
GBJ002_00249	BTF1_07825
GBJ002_00250	BTF1_07820
GBJ002_00251	BTF1_07815
GBJ002_00252	BTF1_07810
GBJ002_00253	None
GBJ002_00254	None
GBJ002_00255	BTF1_07795
GBJ002_00256	BTF1_07790
GBJ002_00257	BTF1_07785
GBJ002_00258	BTF1_07780
GBJ002_00259	BTF1_07775
GBJ002_00260	BTF1_07770
GBJ002_00261	BTF1_07765
GBJ002_00262	BTF1_07760
GBJ002_00263	BTF1_07755
GBJ002_00264	BTF1_07750
GBJ002_00265	BTF1_07745
GBJ002_00266	BTF1_07740
GBJ002_00267	BTF1_07735
GBJ002_00268	BTF1_07730
GBJ002_00269	BTF1_07725
GBJ002_00270	BTF1_07720
GBJ002_00271	BTF1_07715
GBJ002_00272	BTF1_07710
GBJ002_00273	BTF1_07705
GBJ002_00274	BTF1_07700
GBJ002_00275	BTF1_07695
GBJ002_00276	BTF1_07690
GBJ002_00277	BTF1_07685
GBJ002_00278	BTF1_07680
GBJ002_00279	BTF1_07675
GBJ002_00280	BTF1_07670
GBJ002_00281	BTF1_07665
GBJ002_00282	BTF1_07660
GBJ002_00283	BTF1_07655
GBJ002_00284	BTF1_07650
GBJ002_00285	BTF1_07645
GBJ002_00286	BTF1_07640
GBJ002_00287	BTF1_07635
GBJ002_00288	BTF1_07630
GBJ002_00289	BTF1_07625
GBJ002_00290	BTF1_07620
GBJ002_00291	BTF1_07615
GBJ002_00292	BTF1_07610
GBJ002_00293	BTF1_07605
GBJ002_00294	BTF1_07600
GBJ002_00295	BTF1_07595
GBJ002_00296	BTF1_07590
GBJ002_00297	BTF1_07585
GBJ002_00298	BTF1_07580
GBJ002_00299	BTF1_07575
GBJ002_00300	BTF1_07570
GBJ002_00301	BTF1_07565
GBJ002_00302	BTF1_07560
GBJ002_00303	BTF1_07555
GBJ002_00304	BTF1_07550
GBJ002_00305	BTF1_07545
GBJ002_00306	BTF1_07540
GBJ002_00307	BTF1_07535
GBJ002_00308	BTF1_07530
GBJ002_00309	BTF1_07525
GBJ002_00310	BTF1_07520
GBJ002_00311	BTF1_07515
GBJ002_00312	BTF1_07510
GBJ002_00313	BTF1_07505
GBJ002_00314	BTF1_07500
GBJ002_00315	BTF1_07495
GBJ002_00316	BTF1_07490
GBJ002_00317	BTF1_07485
GBJ002_00318	BTF1_07480
GBJ002_00319	BTF1_07475
GBJ002_00320	BTF1_07470
GBJ002_00321	BTF1_07465
GBJ002_00322	BTF1_07460
GBJ002_00323	BTF1_07455
GBJ002_00324	BTF1_07450
GBJ002_00325	BTF1_07445
GBJ002_00326	BTF1_07440
GBJ002_00327	BTF1_07435
GBJ002_00328	BTF1_07430
GBJ002_00329	BTF1_07425
GBJ002_00330	BTF1_07420
GBJ002_00331	BTF1_07415
GBJ002_00332	BTF1_07410
GBJ002_00333	BTF1_07405
GBJ002_00334	BTF1_07400
GBJ002_00335	BTF1_07395
GBJ002_00336	BTF1_07390
GBJ002_00337	BTF1_07385
GBJ002_00338	BTF1_07380
GBJ002_00339	BTF1_07375
GBJ002_00340	BTF1_07370
GBJ002_00341	BTF1_07365
GBJ002_00342	BTF1_07360
GBJ002_00343	BTF1_07350
GBJ002_00344	BTF1_07345
GBJ002_00345	BTF1_07340
GBJ002_00346	BTF1_07335
GBJ002_00347	BTF1_07330
GBJ002_00348	BTF1_07325
GBJ002_00349	BTF1_07320
GBJ002_00350	BTF1_07315
GBJ002_00351	BTF1_07310
GBJ002_00352	BTF1_07305
GBJ002_00353	BTF1_07300
GBJ002_00354	BTF1_07295
GBJ002_00355	BTF1_07290
GBJ002_00356	BTF1_07285
GBJ002_00357	BTF1_07280
GBJ002_00358	BTF1_07275
GBJ002_00359	BTF1_07270
GBJ002_00360	BTF1_07265
GBJ002_00361	BTF1_07260
GBJ002_00362	BTF1_07255
GBJ002_00363	BTF1_07250
GBJ002_00364	BTF1_07245
GBJ002_00365	BTF1_07240
GBJ002_00366	BTF1_07235
GBJ002_00367	BTF1_07230
GBJ002_00368	BTF1_07220
GBJ002_00369	BTF1_07215
GBJ002_00370	BTF1_07210
GBJ002_00371	BTF1_07205
GBJ002_00372	BTF1_07200
GBJ002_00373	BTF1_07195
GBJ002_00374	BTF1_07190
GBJ002_00375	BTF1_07185
GBJ002_00376	BTF1_07180
GBJ002_00377	BTF1_07175
GBJ002_00378	BTF1_07170
GBJ002_00379	BTF1_07165
GBJ002_00380	BTF1_07160
GBJ002_00381	BTF1_07155
GBJ002_00382	BTF1_07150
GBJ002_00383	BTF1_07145
GBJ002_00384	BTF1_07140
GBJ002_00385	BTF1_07135
GBJ002_00386	BTF1_07130
GBJ002_00387	BTF1_07125
GBJ002_00388	BTF1_07120
GBJ002_00389	BTF1_07115
GBJ002_00390	BTF1_07110
GBJ002_00391	BTF1_07105
GBJ002_00392	BTF1_07100
GBJ002_00393	BTF1_07095
GBJ002_00394	BTF1_07090
GBJ002_00395	BTF1_07085
GBJ002_00396	BTF1_07080
GBJ002_00397	BTF1_07070
GBJ002_00398	BTF1_07065
GBJ002_00399	BTF1_07060
GBJ002_00400	None
GBJ002_00401	None
GBJ002_00402	BTF1_07045
GBJ002_00403	BTF1_07040
GBJ002_00404	BTF1_07035
GBJ002_00405	BTF1_07030
GBJ002_00406	BTF1_07025
GBJ002_00407	BTF1_07020
GBJ002_00408	BTF1_07015
GBJ002_00409	BTF1_07010
GBJ002_00410	BTF1_07005
GBJ002_00411	BTF1_07000
GBJ002_00412	BTF1_06995
GBJ002_00413	BTF1_06990
GBJ002_00414	BTF1_06985
GBJ002_00415	BTF1_06980
GBJ002_00416	BTF1_06975
GBJ002_00417	BTF1_06970
GBJ002_00418	BTF1_06965
GBJ002_00419	BTF1_06960
GBJ002_00420	BTF1_06955
GBJ002_00421	BTF1_06950
GBJ002_00422	BTF1_06945
GBJ002_00423	BTF1_06940
GBJ002_00424	BTF1_06935
GBJ002_00425	BTF1_06930
GBJ002_00426	BTF1_06925
GBJ002_00427	BTF1_06920
GBJ002_00428	None
GBJ002_00429	BTF1_06915
GBJ002_00430	BTF1_06910
GBJ002_00431	BTF1_06905
GBJ002_00432	BTF1_06900
GBJ002_00433	BTF1_06895
GBJ002_00434	BTF1_06890
GBJ002_00435	BTF1_06885
GBJ002_00436	None
GBJ002_00437	BTF1_06875
GBJ002_00438	BTF1_02235
GBJ002_00439	BTF1_17060
GBJ002_00440	BTF1_06860
GBJ002_00441	BTF1_06855
GBJ002_00442	BTF1_06850
GBJ002_00443	BTF1_06845
GBJ002_00444	BTF1_06840
GBJ002_00445	BTF1_06835
GBJ002_00446	BTF1_06830
GBJ002_00447	BTF1_06825
GBJ002_00448	BTF1_06820
GBJ002_00449	BTF1_06815
GBJ002_00450	BTF1_06810
GBJ002_00451	BTF1_06805
GBJ002_00452	BTF1_06800
GBJ002_00453	BTF1_06795
GBJ002_00454	BTF1_06790
GBJ002_00455	BTF1_06785
GBJ002_00456	BTF1_06780
GBJ002_00457	BTF1_06775
GBJ002_00458	BTF1_06770
GBJ002_00459	BTF1_06765
GBJ002_00460	BTF1_06760
GBJ002_00461	None
GBJ002_00462	BTF1_06755
GBJ002_00463	BTF1_06750
GBJ002_00464	BTF1_06745
GBJ002_00465	BTF1_06740
GBJ002_00466	BTF1_06735
GBJ002_00467	BTF1_06730
GBJ002_00468	BTF1_06725
GBJ002_00469	BTF1_06720
GBJ002_00470	BTF1_06715
GBJ002_00471	BTF1_06710
GBJ002_00472	BTF1_06705
GBJ002_00473	BTF1_06700
GBJ002_00474	BTF1_06695
GBJ002_00475	BTF1_06690
GBJ002_00476	BTF1_06685
GBJ002_00477	BTF1_06680
GBJ002_00478	BTF1_06675
GBJ002_00479	BTF1_06670
GBJ002_00480	BTF1_06665
GBJ002_00481	BTF1_10145
GBJ002_00482	BTF1_06660
GBJ002_00483	BTF1_06655
GBJ002_00484	BTF1_06650
GBJ002_00485	BTF1_06645
GBJ002_00486	BTF1_06640
GBJ002_00487	BTF1_06635
GBJ002_00488	BTF1_06630
GBJ002_00489	BTF1_06625
GBJ002_00490	BTF1_06615
GBJ002_00491	BTF1_06610
GBJ002_00492	BTF1_06605
GBJ002_00493	BTF1_06600
GBJ002_00494	BTF1_06595
GBJ002_00495	BTF1_06590
GBJ002_00496	BTF1_06585
GBJ002_00497	BTF1_06580
GBJ002_00498	BTF1_06575
GBJ002_00499	BTF1_06570
GBJ002_00500	BTF1_06565
GBJ002_00501	BTF1_06560
GBJ002_00502	BTF1_06555
GBJ002_00503	BTF1_06550
GBJ002_00504	BTF1_06545
GBJ002_00505	BTF1_06540
GBJ002_00506	BTF1_06535
GBJ002_00507	BTF1_06530
GBJ002_00508	BTF1_06525
GBJ002_00509	BTF1_06520
GBJ002_00510	BTF1_06515
GBJ002_00511	BTF1_06510
GBJ002_00512	BTF1_06505
GBJ002_00513	BTF1_06500
GBJ002_00514	BTF1_06495
GBJ002_00515	BTF1_06490
GBJ002_00516	BTF1_06485
GBJ002_00517	BTF1_06475
GBJ002_00518	BTF1_06470
GBJ002_00519	BTF1_06465
GBJ002_00520	BTF1_06460
GBJ002_00521	BTF1_06455
GBJ002_00522	BTF1_06450
GBJ002_00523	BTF1_06445
GBJ002_00524	BTF1_06440
GBJ002_00525	BTF1_06435
GBJ002_00526	BTF1_06430
GBJ002_00527	BTF1_06425
GBJ002_00528	BTF1_06420
GBJ002_00529	BTF1_06415
GBJ002_00530	BTF1_06410
GBJ002_00531	BTF1_06405
GBJ002_00532	BTF1_06400
GBJ002_00533	BTF1_06395
GBJ002_00534	BTF1_06390
GBJ002_00535	BTF1_06385
GBJ002_00536	BTF1_06380
GBJ002_00537	BTF1_06375
GBJ002_00538	BTF1_06370
GBJ002_00539	BTF1_06365
GBJ002_00540	BTF1_06360
GBJ002_00541	BTF1_06355
GBJ002_00542	BTF1_06350
GBJ002_00543	BTF1_06345
GBJ002_00544	BTF1_06340
GBJ002_00545	BTF1_06335
GBJ002_00546	BTF1_06330
GBJ002_00547	BTF1_06325
GBJ002_00548	BTF1_06320
GBJ002_00549	BTF1_06315
GBJ002_00550	BTF1_06310
GBJ002_00551	BTF1_06305
GBJ002_00552	BTF1_06300
GBJ002_00553	BTF1_06295
GBJ002_00554	BTF1_06290
GBJ002_00555	BTF1_06285
GBJ002_00556	BTF1_06280
GBJ002_00557	BTF1_06275
GBJ002_00558	BTF1_06270
GBJ002_00559	BTF1_06265
GBJ002_00560	BTF1_06260
GBJ002_00561	BTF1_06255
GBJ002_00562	BTF1_06250
GBJ002_00563	BTF1_06245
GBJ002_00564	BTF1_06240
GBJ002_00565	BTF1_06235
GBJ002_00566	BTF1_06230
GBJ002_00567	BTF1_06225
GBJ002_00568	BTF1_06220
GBJ002_00569	BTF1_06215
GBJ002_00570	BTF1_06210
GBJ002_00571	BTF1_06205
GBJ002_00572	BTF1_06200
GBJ002_00573	BTF1_06195
GBJ002_00574	BTF1_06190
GBJ002_00575	BTF1_06185
GBJ002_00576	BTF1_06180
GBJ002_00577	BTF1_06175
GBJ002_00578	BTF1_06170
GBJ002_00579	BTF1_06165
GBJ002_00580	BTF1_06160
GBJ002_00581	BTF1_06155
GBJ002_00582	BTF1_06150
GBJ002_00583	BTF1_06145
GBJ002_00584	BTF1_06140
GBJ002_00585	BTF1_06135
GBJ002_00586	BTF1_06130
GBJ002_00587	BTF1_06125
GBJ002_00588	BTF1_06120
GBJ002_00589	BTF1_06115
GBJ002_00590	BTF1_06110
GBJ002_00591	BTF1_06105
GBJ002_00592	BTF1_06100
GBJ002_00593	BTF1_06095
GBJ002_00594	BTF1_06090
GBJ002_00595	BTF1_06085
GBJ002_00596	BTF1_06080
GBJ002_00597	BTF1_06075
GBJ002_00598	BTF1_06070
GBJ002_00599	BTF1_06065
GBJ002_00600	BTF1_06060
GBJ002_00601	BTF1_06055
GBJ002_00602	BTF1_06050
GBJ002_00603	BTF1_06045
GBJ002_00604	BTF1_06040
GBJ002_00605	BTF1_06035
GBJ002_00606	BTF1_06030
GBJ002_00607	BTF1_06025
GBJ002_00608	BTF1_06020
GBJ002_00609	BTF1_06015
GBJ002_00610	BTF1_27805
GBJ002_00611	BTF1_27805
GBJ002_00612	BTF1_06000
GBJ002_00613	BTF1_11650
GBJ002_00614	BTF1_11655
GBJ002_00615	BTF1_11660
GBJ002_00616	BTF1_11665
GBJ002_00617	BTF1_11670
GBJ002_00618	BTF1_11675
GBJ002_00619	BTF1_11680
GBJ002_00620	BTF1_11685
GBJ002_00621	BTF1_11690
GBJ002_00622	BTF1_11695
GBJ002_00623	BTF1_11700
GBJ002_00624	BTF1_11705
GBJ002_00625	BTF1_11710
GBJ002_00626	BTF1_11715
GBJ002_00627	BTF1_11720
GBJ002_00628	BTF1_11725
GBJ002_00629	BTF1_11730
GBJ002_00630	BTF1_11735
GBJ002_00631	BTF1_11740
GBJ002_00632	BTF1_11745
GBJ002_00633	BTF1_11750
GBJ002_00634	BTF1_11755
GBJ002_00635	BTF1_11760
GBJ002_00636	BTF1_11765
GBJ002_00637	BTF1_11770
GBJ002_00638	BTF1_11775
GBJ002_00639	BTF1_11780
GBJ002_00640	BTF1_11785
GBJ002_00641	BTF1_11790
GBJ002_00642	BTF1_11795
GBJ002_00643	BTF1_11800
GBJ002_00644	BTF1_11805
GBJ002_00645	BTF1_11810
GBJ002_00646	BTF1_11815
GBJ002_00647	BTF1_11820
GBJ002_00648	BTF1_11825
GBJ002_00649	BTF1_11830
GBJ002_00650	BTF1_11835
GBJ002_00651	BTF1_11840
GBJ002_00652	BTF1_11845
GBJ002_00653	BTF1_11850
GBJ002_00654	BTF1_11855
GBJ002_00655	BTF1_11860
GBJ002_00656	BTF1_11865
GBJ002_00657	BTF1_11870
GBJ002_00658	BTF1_11875
GBJ002_00659	BTF1_11880
GBJ002_00660	BTF1_11885
GBJ002_00661	BTF1_11890
GBJ002_00662	BTF1_11895
GBJ002_00663	BTF1_11900
GBJ002_00664	BTF1_11905
GBJ002_00665	BTF1_11910
GBJ002_00666	BTF1_11915
GBJ002_00667	BTF1_11920
GBJ002_00668	BTF1_11925
GBJ002_00669	BTF1_11930
GBJ002_00670	BTF1_11935
GBJ002_00671	BTF1_11940
GBJ002_00672	BTF1_11945
GBJ002_00673	BTF1_11950
GBJ002_00674	BTF1_11955
GBJ002_00675	BTF1_11960
GBJ002_00676	BTF1_11965
GBJ002_00677	BTF1_11970
GBJ002_00678	BTF1_11975
GBJ002_00679	BTF1_11980
GBJ002_00680	BTF1_11985
GBJ002_00681	BTF1_11990
GBJ002_00682	BTF1_12000
GBJ002_00683	BTF1_12005
GBJ002_00684	BTF1_12010
GBJ002_00685	BTF1_12015
GBJ002_00686	BTF1_12020
GBJ002_00687	BTF1_12025
GBJ002_00688	BTF1_12030
GBJ002_00689	BTF1_12035
GBJ002_00690	BTF1_12040
GBJ002_00691	BTF1_12045
GBJ002_00692	BTF1_12050
GBJ002_00693	BTF1_12055
GBJ002_00694	BTF1_12060
GBJ002_00695	BTF1_12070
GBJ002_00696	BTF1_12075
GBJ002_00697	BTF1_12080
GBJ002_00698	BTF1_12090
GBJ002_00699	BTF1_12095
GBJ002_00700	BTF1_12100
GBJ002_00701	BTF1_12105
GBJ002_00702	BTF1_12110
GBJ002_00703	BTF1_12115
GBJ002_00704	BTF1_12120
GBJ002_00705	BTF1_12125
GBJ002_00706	BTF1_12130
GBJ002_00707	BTF1_12135
GBJ002_00708	BTF1_12140
GBJ002_00709	BTF1_12145
GBJ002_00710	BTF1_12150
GBJ002_00711	BTF1_12155
GBJ002_00712	BTF1_12160
GBJ002_00713	BTF1_12165
GBJ002_00714	BTF1_12170
GBJ002_00715	BTF1_12175
GBJ002_00716	BTF1_12180
GBJ002_00717	BTF1_12185
GBJ002_00718	BTF1_12190
GBJ002_00719	BTF1_12195
GBJ002_00720	BTF1_12200
GBJ002_00721	BTF1_12205
GBJ002_00722	BTF1_12210
GBJ002_00723	BTF1_12215
GBJ002_00724	BTF1_12220
GBJ002_00725	BTF1_12225
GBJ002_00726	BTF1_12230
GBJ002_00727	BTF1_12235
GBJ002_00728	BTF1_12240
GBJ002_00729	BTF1_12245
GBJ002_00730	BTF1_12250
GBJ002_00731	BTF1_12255
GBJ002_00732	BTF1_12260
GBJ002_00733	BTF1_12265
GBJ002_00734	BTF1_12270
GBJ002_00735	BTF1_12275
GBJ002_00736	BTF1_12280
GBJ002_00737	BTF1_12285
GBJ002_00738	BTF1_12290
GBJ002_00739	BTF1_12295
GBJ002_00740	BTF1_12300
GBJ002_00741	BTF1_12305
GBJ002_00742	BTF1_12310
GBJ002_00743	None
GBJ002_00744	None
GBJ002_00745	BTF1_12325
GBJ002_00746	BTF1_12330
GBJ002_00747	BTF1_12335
GBJ002_00748	BTF1_12340
GBJ002_00749	BTF1_12345
GBJ002_00750	BTF1_12350
GBJ002_00751	BTF1_12355
GBJ002_00752	BTF1_12360
GBJ002_00753	BTF1_12365
GBJ002_00754	BTF1_12370
GBJ002_00755	BTF1_12375
GBJ002_00756	BTF1_12380
GBJ002_00757	BTF1_12385
GBJ002_00758	BTF1_12390
GBJ002_00759	BTF1_12395
GBJ002_00760	BTF1_12400
GBJ002_00761	BTF1_12405
GBJ002_00762	BTF1_12410
GBJ002_00763	BTF1_12415
GBJ002_00764	BTF1_12420
GBJ002_00765	BTF1_12425
GBJ002_00766	BTF1_12430
GBJ002_00767	None
GBJ002_00768	None
GBJ002_00769	BTF1_12445
GBJ002_00770	BTF1_12450
GBJ002_00771	BTF1_12455
GBJ002_00772	BTF1_12460
GBJ002_00773	BTF1_12465
GBJ002_00774	BTF1_12470
GBJ002_00775	BTF1_12475
GBJ002_00776	BTF1_12480
GBJ002_00777	BTF1_12485
GBJ002_00778	BTF1_12490
GBJ002_00779	BTF1_12495
GBJ002_00780	BTF1_12500
GBJ002_00781	BTF1_12505
GBJ002_00782	BTF1_12510
GBJ002_00783	BTF1_12515
GBJ002_00784	BTF1_12520
GBJ002_00785	BTF1_12525
GBJ002_00786	BTF1_12530
GBJ002_00787	BTF1_12535
GBJ002_00788	BTF1_12540
GBJ002_00789	BTF1_12545
GBJ002_00790	BTF1_12550
GBJ002_00791	BTF1_12555
GBJ002_00792	BTF1_12560
GBJ002_00793	BTF1_12565
GBJ002_00794	BTF1_12570
GBJ002_00795	BTF1_12575
GBJ002_00796	BTF1_12580
GBJ002_00797	BTF1_12585
GBJ002_00798	BTF1_12590
GBJ002_00799	BTF1_12595
GBJ002_00800	BTF1_12600
GBJ002_00801	BTF1_12605
GBJ002_00802	BTF1_12610
GBJ002_00803	BTF1_12615
GBJ002_00804	BTF1_12620
GBJ002_00805	BTF1_12625
GBJ002_00806	BTF1_12630
GBJ002_00807	BTF1_12635
GBJ002_00808	BTF1_12640
GBJ002_00809	None
GBJ002_00810	None
GBJ002_00811	BTF1_12655
GBJ002_00812	BTF1_12660
GBJ002_00813	BTF1_12665
GBJ002_00814	BTF1_12670
GBJ002_00815	BTF1_12675
GBJ002_00816	BTF1_12680
GBJ002_00817	BTF1_12685
GBJ002_00818	BTF1_12690
GBJ002_00819	BTF1_12695
GBJ002_00820	BTF1_12700
GBJ002_00821	BTF1_12705
GBJ002_00822	BTF1_12710
GBJ002_00823	BTF1_12715
GBJ002_00824	BTF1_12720
GBJ002_00825	BTF1_12725
GBJ002_00826	BTF1_12730
GBJ002_00827	BTF1_12735
GBJ002_00828	BTF1_12740
